nameWithOwner;stargazers;mostUsedLanguage
CyC2018/CS-Notes;112056;Java
Snailclimb/JavaGuide;89026;Java
iluwatar/java-design-patterns;60966;Java
MisterBooo/LeetCodeAnimation;59650;Java
elastic/elasticsearch;51502;Java
spring-projects/spring-boot;50931;Java
kdn251/interviews;48081;Java
doocs/advanced-java;47668;Java
ReactiveX/RxJava;43545;Java
macrozheng/mall;41724;Java
spring-projects/spring-framework;39556;Java
google/guava;38949;Java
square/okhttp;38373;Java
square/retrofit;36669;Java
apache/dubbo;33710;Java
PhilJay/MPAndroidChart;31830;Java
TheAlgorithms/Java;30453;Java
bumptech/glide;29983;Java
airbnb/lottie-android;29787;Java
Blankj/AndroidUtilCode;27984;Java
zxing/zxing;26307;Java
proxyee-down-org/proxyee-down;25555;Java
JakeWharton/butterknife;25467;Java
crossoverJie/JCSprout;25286;Java
kon9chunkit/GitHub-Chinese-Top-Charts;25244;Java
netty/netty;24867;Java
ityouknow/spring-boot-examples;23742;Java
skylot/jadx;23527;Java
alibaba/arthas;23182;Java
eugenp/tutorials;23086;Java
greenrobot/EventBus;22874;Java
alibaba/fastjson;22448;Java
ctripcorp/apollo;22431;Java
NationalSecurityAgency/ghidra;22396;Java
alibaba/druid;22320;Java
scwang90/SmartRefreshLayout;21538;Java
CymChad/BaseRecyclerViewAdapterHelper;20819;Java
Netflix/Hystrix;20372;Java
ReactiveX/RxAndroid;19151;Java
geekxh/hello-algorithm;19147;Java
SeleniumHQ/selenium;18764;Java
lenve/vhr;18742;Java
google/gson;18603;Java
xkcoding/spring-boot-demo;18075;Java
square/picasso;17669;Java
libgdx/libgdx;17476;Java
seata/seata;17415;Java
hollischuang/toBeTopJavaer;17249;Java
chrisbanes/PhotoView;17183;Java
alibaba/easyexcel;17123;Java
apache/kafka;17008;Java
qiurunze123/miaosha;16974;Java
wuyouzhuguli/SpringAll;16884;Java
halo-dev/halo;16826;Java
nostra13/Android-Universal-Image-Loader;16750;Java
google/ExoPlayer;16422;Java
facebook/fresco;16333;Java
jenkinsci/jenkins;16235;Java
alibaba/canal;15888;Java
looly/hutool;15826;Java
alibaba/spring-cloud-alibaba;15808;Java
xuxueli/xxl-job;15766;Java
shuzheng/zheng;15622;Java
didi/DoraemonKit;15615;Java
zhangdaiscott/jeecg-boot;15547;Java
bazelbuild/bazel;15451;Java
dbeaver/dbeaver;15384;Java
Tencent/tinker;15356;Java
CarGuo/GSYVideoPlayer;14939;Java
apache/skywalking;14771;Java
android10/Android-CleanArchitecture;14509;Java
redisson/redisson;14466;Java
alibaba/nacos;14370;Java
mybatis/mybatis-3;14340;Java
linlinjava/litemall;14326;Java
dianping/cat;14318;Java
apache/flink;14276;Java
forezp/SpringCloudLearning;14248;Java
winterbe/java8-tutorial;13922;Java
alibaba/Sentinel;13888;Java
brettwooldridge/HikariCP;13821;Java
signalapp/Signal-Android;13802;Java
oracle/graal;13666;Java
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition;13565;Java
JeffLi1993/springboot-learning-example;13547;Java
openzipkin/zipkin;13465;Java
hdodenhof/CircleImageView;13439;Java
lgvalle/Material-Animations;13434;Java
react-native-community/lottie-react-native;13412;Java
LMAX-Exchange/disruptor;13021;Java
orhanobut/logger;12478;Java
alibaba/ARouter;12422;Java
apache/rocketmq;12389;Java
Tencent/QMUI_Android;12243;Java
greenrobot/greenDAO;12215;Java
apache/shardingsphere;12160;Java
Bigkoo/Android-PickerView;12144;Java
dyc87112/SpringBoot-Learning;12132;Java
facebook/stetho;12053;Java
Curzibn/Luban;12032;Java
